"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"850","Aaron Ekblad","FLA","D","78","1411.1833333333","12","15","6","9","27","39.13","143","8.39","6.37","242","186","66","18","5","11","37","17","16","1","0","6","37","20","81","116","54","0","0","-"
"390","Aaron Ness","WSH","D","8","97.75","0","2","0","2","2","33.33","8","0.00","0.4","18","13","3","0","0","0","2","1","1","0","0","1","2","0","4","9","7","0","0","-"
"647","Adam Clendening","EDM, PIT","D","29","405.33333333333","1","6","1","5","7","36.84","41","2.44","1.44","76","56","13","1","1","0","20","10","10","0","0","4","18","5","19","55","33","0","0","-"
"205","Adam Cracknell","EDM, VAN","R","52","595.98333333333","5","5","4","1","10","76.92","67","7.46","5.71","119","91","56","27","4","6","18","9","9","0","0","10","13","23","123","60","25","146","217","40.22"
"401","Adam Henrique","N.J","C","80","1164.5666666667","21","14","3","11","35","63.64","113","18.58","12.94","183","149","121","61","7","11","21","9","8","1","0","11","20","27","57","68","40","465","579","44.54"
"667","Adam Larsson","N.J","D","82","1557.5333333333","3","14","6","8","17","35.42","63","4.76","3.57","151","100","37","5","2","11","55","22","20","1","1","6","21","19","149","157","112","0","0","-"
"628","Adam Lowry","WPG","C","74","867.06666666667","7","10","6","4","17","62.96","67","10.45","7.45","114","87","71","39","4","10","43","15","13","1","1","12","15","24","175","60","36","314","359","46.66"
"229","Adam McQuaid","BOS","D","64","995.35","1","8","3","5","9","26.47","42","2.38","1.21","104","59","19","0","1","2","63","27","24","3","0","12","27","7","129","88","91","0","0","-"
"199","Adam Pardy","EDM, WPG","D","23","309.48333333333","0","3","3","0","3","37.50","21","0.00","1.15","42","31","12","5","2","1","10","5","5","0","0","4","12","4","26","37","23","0","0","-"
"743","Adam Pelech","NYI","D","9","136.5","0","2","2","0","2","40.00","6","0.00","0.15","16","8","1","0","0","0","0","0","0","0","0","0","7","0","15","23","12","0","0","-"
"636","Alan Quine","NYI","C","2","28.533333333333","0","0","0","0","0","-","4","0.00","0.51","11","9","10","2","0","0","0","0","0","0","0","0","2","1","3","0","1","11","5","68.75"
"354","Alec Martinez","L.A","D","78","1319.4","6","11","7","4","17","29.82","84","7.14","4.31","227","140","62","12","2","15","32","16","16","0","0","7","45","4","140","131","142","0","0","-"
"808","Aleksander Barkov","FLA","C","66","976.08333333333","18","23","13","10","41","70.69","127","14.17","11.57","189","160","134","70","8","7","6","3","3","0","0","17","21","38","40","74","30","452","467","49.18"
"67","Ales Hemsky","DAL","R","75","861.33333333333","12","22","15","7","34","73.91","135","8.89","11.05","232","170","140","55","14","13","20","10","10","0","0","10","26","22","25","88","26","1","2","33.33"
"258","Alex Biega","VAN","D","51","788.93333333333","0","7","3","4","7","25.93","61","0.00","1.94","114","75","33","6","2","3","18","9","9","0","0","6","18","8","117","94","37","0","0","-"
"443","Alex Chiasson","OTT","R","77","848.58333333333","5","6","5","1","11","37.93","76","6.58","6.9","125","106","66","44","8","4","32","13","11","2","0","6","12","23","98","126","26","3","1","75.00"
"577","Alex Friesen","VAN","C","1","11.716666666667","0","0","0","0","0","-","1","0.00","0.06","2","1","2","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0.00"
"708","Alex Galchenyuk","MTL","C","82","1118.3333333333","21","19","11","8","40","68.97","160","13.13","15.16","277","217","160","78","7","17","14","6","6","0","0","17","32","29","61","110","36","316","344","47.88"
"184","Alex Goligoski","DAL","D","82","1602.3833333333","4","27","12","15","31","32.98","108","3.70","4.4","255","158","57","12","3","9","32","16","16","0","0","10","62","12","88","82","130","0","0","-"
"314","Alex Grant","ARI","D","5","59.633333333333","0","0","0","0","0","0.00","3","0.00","0.26","9","4","6","2","0","1","7","2","1","1","0","1","0","1","7","7","2","0","0","-"
"649","Alex Khokhlachev","BOS","C","5","51.233333333333","0","0","0","0","0","-","4","0.00","0.23","10","6","4","1","0","1","0","0","0","0","0","1","1","0","2","5","1","0","2","0.00"
"308","Alex Killorn","T.B","L","81","1135.9666666667","11","22","16","6","33","55.93","118","9.32","11.59","229","172","139","56","3","11","30","15","15","0","0","19","34","28","70","112","22","23","43","34.85"
"167","Alex Ovechkin","WSH","L","79","1264.8833333333","31","16","3","13","47","67.14","255","12.16","20.64","502","348","243","85","24","25","41","19","18","1","0","21","38","19","220","76","34","0","0","-"
"535","Alex Petrovic","FLA","D","66","990.21666666667","2","14","8","6","16","33.33","53","3.77","1.97","114","78","12","2","0","5","55","20","15","5","0","10","21","8","148","116","65","0","0","-"
"370","Alex Pietrangelo","STL","D","73","1519.7333333333","6","25","17","8","31","49.21","152","3.95","7.17","271","198","87","19","5","13","10","5","5","0","0","12","31","31","41","133","107","0","0","-"
"23","Alex Tanguay","ARI, COL","L","70","909.95","7","18","13","5","25","56.82","54","12.96","5.65","96","76","56","30","1","4","28","14","14","0","0","10","11","25","20","33","34","1","2","33.33"
"557","Alexander Burmistrov","WPG","C","81","1071","7","12","5","7","19","63.33","92","7.61","9.04","186","139","102","41","7","13","28","14","14","0","0","20","41","30","116","84","24","164","257","38.95"
"189","Alexander Edler","VAN","D","52","968.95","3","8","2","6","11","28.21","80","3.75","2.52","167","124","30","1","3","2","42","20","20","0","0","5","34","14","68","103","81","0","0","-"
"96","Alexander Semin","MTL","R","15","153.78333333333","1","3","1","2","4","57.14","17","5.88","1.15","38","27","15","2","1","1","10","5","5","0","0","2","7","5","6","20","4","0","0","-"
"110","Alexander Steen","STL","L","67","1046.7333333333","14","16","8","8","30","65.22","125","11.20","10.42","207","162","112","38","6","11","34","17","17","0","0","11","15","32","44","93","27","122","133","47.84"
"819","Alexander Wennberg","CBJ","C","69","896.25","6","21","15","6","27","62.79","65","9.23","8.64","123","98","81","51","3","13","2","1","1","0","0","17","18","40","31","49","37","340","453","42.88"
"116","Alexandre Burrows","VAN","L","79","909.3","6","9","4","5","15","71.43","105","5.71","9.26","175","144","99","43","7","11","20","10","10","0","0","15","11","25","73","68","25","2","3","40.00"
"638","Alexandre Grenier","VAN","R","6","68.85","0","0","0","0","0","0.00","9","0.00","0.91","13","12","7","5","0","2","2","1","1","0","0","0","3","3","5","5","3","1","1","50.00"
"188","Alexei Emelin","MTL","D","72","1299.6","0","12","3","9","12","29.27","67","0.00","2.51","189","108","40","4","1","10","46","20","18","2","0","9","65","12","240","176","96","0","0","-"
"606","Alexey Marchenko","DET","D","66","970.36666666667","2","8","4","4","10","30.30","40","5.00","2.06","107","68","27","2","2","5","8","4","4","0","0","9","26","6","38","88","68","0","0","-"
"500","Anders Lee","NYI","L","80","963.68333333333","7","15","9","6","22","64.71","141","4.96","12.78","225","189","146","91","5","11","36","15","13","2","0","2","19","31","155","130","31","1","5","16.67"
"117","Andre Benoit","STL","D","2","26.116666666667","0","0","0","0","0","0.00","0","-","0.04","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","4","5","0","0","-"
"791","Andre Burakovsky","WSH","L","79","965.63333333333","17","16","6","10","33","71.74","117","14.53","10.61","226","164","124","53","13","15","10","5","5","0","0","9","26","34","37","91","24","12","13","48.00"
"756","Andreas Athanasiou","DET","C","37","314.16666666667","8","5","2","3","13","86.67","52","15.38","4.61","82","70","53","32","2","5","5","1","0","1","0","15","5","10","16","27","7","53","75","41.41"
"885","Andreas Martinsen","COL","L","55","603.81666666667","4","7","4","3","11","57.89","50","8.00","3.92","88","73","37","16","2","6","47","15","11","3","1","12","5","11","155","70","27","1","3","25.00"
"33","Andrei Markov","MTL","D","82","1483.7166666667","1","26","18","8","27","40.30","78","1.28","3.87","220","124","51","8","3","10","34","13","12","0","1","8","77","28","47","82","123","0","0","-"
"490","Andrej Nestrasil","CAR","C","55","718.31666666667","7","14","9","5","21","67.74","93","7.53","9.64","177","131","85","37","4","20","6","3","3","0","0","5","15","29","27","67","13","7","14","33.33"
"187","Andrej Sekera","EDM","D","81","1446.45","4","11","6","5","15","28.85","109","3.67","4.63","266","150","73","17","5","16","12","6","6","0","0","7","67","29","56","177","136","0","0","-"
"770","Andrej Sustr","T.B","D","77","1149.85","4","17","5","12","21","42.00","65","6.15","3.01","139","97","34","7","4","7","28","14","14","0","0","3","31","14","25","117","57","0","0","-"
"508","Andrew Agozzino","COL","L","9","74.783333333333","0","1","0","1","1","100.00","3","0.00","0.29","11","5","4","3","1","0","0","0","0","0","0","1","1","0","8","5","4","23","21","52.27"
