,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Justin Abdelkader,DET,LW,82,19,23,42,-16,120,155,4,6,7,0,0,207,44
Noel Acciari,FLA,C,19,0,1,1,-4,8,18,0,0,0,0,0,52,4
Kenny Agostino,TOR,LW,2,0,0,0,-2,0,3,0,0,0,0,0,3,0
Andrew Agozzino,PIT,LW,9,0,2,2,-1,0,3,0,0,1,0,0,8,4
Karl Alzner,MON,D,82,4,17,21,14,26,75,1,0,0,0,0,135,207
Josh Anderson,CLS,RW,12,1,3,4,0,2,11,0,0,0,0,0,40,4
Joakim Andersson,FA,C,29,1,2,3,1,6,17,0,0,0,0,0,14,5
Andy Andreoff,PHI,C,60,8,2,10,1,76,46,1,0,0,0,0,82,11
Sven Andrighetto,FA,RW,44,7,10,17,1,6,74,0,1,1,0,0,71,17
Mike Angelidis,FA,LW,4,1,0,1,2,5,1,1,0,0,0,0,6,1
Artem Anisimov,OTT,C,77,20,22,42,8,12,121,1,5,5,3,1,53,40
Josh Archibald,EDM,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Mark Arcobello,FA,RW,20,3,1,4,0,0,43,0,0,0,0,0,22,3
Joel Armia,MON,RW,43,4,6,10,2,12,52,1,0,0,0,2,59,20
Viktor Arvidsson,NSH,LW,56,8,8,16,-8,35,139,3,1,0,0,0,27,35
Andreas Athanasiou,DET,C,37,9,5,14,1,5,53,1,0,0,1,0,17,8
Cam Atkinson,CLS,RW,81,27,26,53,-8,22,226,3,4,6,2,0,47,40
David Backes,BOS,RW,79,21,24,45,4,83,168,3,8,5,0,0,239,63
Mikael Backlund,CGY,C,82,21,26,47,10,28,155,4,3,6,3,1,68,51
Nicklas Backstrom,WAS,C,75,20,50,70,17,36,129,4,3,27,0,0,51,50
Sven Baertschi,VAN,LW,69,15,13,28,-14,14,108,1,2,5,0,0,30,36
Josh Bailey,NYI,LW,81,12,20,32,-7,22,105,2,4,1,0,0,45,25
Justin Bailey,VAN,RW,8,0,0,0,-2,2,22,0,0,0,0,0,8,6
Mark Barberio,COL,D,30,2,8,10,0,6,32,0,0,0,0,0,12,18
Aleksander Barkov,FLA,C,66,28,31,59,18,8,171,8,9,7,1,1,43,39
Tyson Barrie,TOR,D,78,13,36,49,-16,31,172,5,3,18,1,1,37,84
Matt Bartkowski,MIN,D,80,6,12,18,-19,50,85,0,0,0,0,0,141,42
Victor Bartley,FA,D,10,0,0,0,2,6,8,0,0,0,0,0,21,17
Cody Bass,FA,C,17,0,0,0,-1,17,11,0,0,0,0,0,26,8
Kyle Baun,FA,LW,2,0,0,0,-2,0,1,0,0,0,0,0,3,0
Jay Beagle,VAN,C,57,8,9,17,0,24,74,1,0,0,0,0,55,24
Francois Beauchemin,FA,D,82,8,26,34,-7,38,127,2,2,9,0,2,78,256
Nathan Beaulieu,WPG,D,64,2,17,19,-6,55,74,0,1,2,0,0,59,89
Taylor Beck,FA,LW,2,0,0,0,0,2,0,0,0,0,0,0,6,0
Matt Beleskey,NYR,LW,80,15,22,37,6,65,168,1,3,4,0,0,260,44
Pierre-Edouard Bellemare,COL,C,74,7,7,14,-8,27,102,1,0,0,1,1,65,61
Jamie Benn,DAL,C,82,41,48,89,7,64,247,5,17,13,2,3,156,55
Jordie Benn,VAN,D,64,3,9,12,2,21,58,2,1,0,0,1,90,94
Beau Bennett,ARI,RW,33,6,6,12,-1,10,52,0,1,2,0,0,65,6
Sam Bennett,CGY,LW,77,18,18,36,-11,37,136,2,3,5,0,0,110,32
Andre Benoit,FA,D,2,0,0,0,1,0,0,0,0,0,0,0,1,5
Patrice Bergeron,BOS,C,80,32,36,68,12,49,282,6,12,13,1,2,77,56
Patrik Berglund,FA,C,42,10,5,15,1,16,80,5,4,0,0,0,48,17
Steve Bernier,FA,RW,24,1,5,6,3,9,27,0,0,0,0,0,42,13
Christoph Bertschy,FA,C,3,0,0,0,0,0,3,0,0,0,0,0,7,2
Bryan Bickell,FA,LW,25,0,2,2,-5,2,21,0,0,0,0,0,58,10
Alex Biega,VAN,D,51,0,7,7,-11,22,61,0,0,0,0,0,124,41
Kevin Bieksa,FA,D,71,4,11,15,-7,99,109,1,2,4,0,0,152,108
Chris Bigras,PHI,D,31,1,2,3,-2,16,21,0,0,0,0,0,17,17
Anthony Bitetto,WPG,D,28,1,5,6,0,19,19,0,0,0,0,0,62,41
Oliver Bjorkstrand,CLS,RW,12,4,4,8,6,0,25,1,0,0,0,0,9,5
Nick Bjugstad,PIT,C,67,15,19,34,-8,41,171,3,6,9,0,0,87,28
Joseph Blandisi,PIT,C,41,5,12,17,-14,34,43,1,4,2,0,0,39,13
Michael Blunden,FA,RW,20,3,2,5,3,34,14,1,0,0,0,0,41,3
Andrew Bodnarchuk,FA,D,37,0,4,4,-7,14,9,0,0,0,0,0,44,27
Mikkel Boedker,OTT,LW,80,17,34,51,-33,12,166,5,3,16,0,0,51,31
Zach Bogosian,BUF,D,64,7,17,24,-11,68,121,1,3,3,0,1,86,98
Jared Boll,FA,RW,30,1,2,3,-3,61,11,0,0,0,0,0,53,15
Dave Bolland,FA,C,25,1,4,5,-2,16,26,0,0,3,0,0,36,9
Brandon Bollig,FA,LW,54,2,2,4,-10,103,56,0,0,0,0,0,117,25
Nick Bonino,NSH,C,63,9,20,29,13,31,97,0,2,0,1,0,22,67
Mark Borowiecki,OTT,D,63,1,1,2,-4,107,27,0,0,0,0,0,271,99
Robert Bortuzzo,STL,D,40,2,1,3,2,52,47,0,0,0,0,0,93,42
Reid Boucher,VAN,RW,39,8,11,19,-13,6,74,4,2,4,0,0,32,14
Eric Boulton,FA,LW,6,0,0,0,-3,2,3,0,0,0,0,0,15,0
Lance Bouma,LA,C,44,2,5,7,-6,31,49,0,0,0,0,2,110,42
Gabriel Bourque,WPG,LW,22,1,3,4,0,18,25,0,0,0,0,0,55,22
Rene Bourque,FA,LW,49,3,5,8,-9,38,77,0,0,0,0,0,82,19
Jay Bouwmeester,STL,D,72,3,16,19,-4,18,105,0,1,1,0,0,71,110
Johnny Boychuk,NYI,D,70,9,16,25,17,31,165,1,1,4,0,0,149,140
Brad Boyes,FA,RW,60,8,16,24,-6,12,85,1,2,3,0,0,20,17
Brian Boyle,FA,C,76,13,7,20,-7,57,117,4,2,1,2,0,115,48
Dan Boyle,FA,D,74,10,14,24,0,30,95,0,3,7,0,0,66,105
Tyler Bozak,STL,C,57,12,23,35,-9,18,99,1,3,7,0,0,46,24
Derick Brassard,NYI,C,80,27,31,58,12,30,182,5,8,14,0,0,103,23
Justin Braun,PHI,D,80,4,19,23,11,36,114,0,0,1,0,0,95,140
T.J. Brennan,PHI,D,7,1,0,1,-6,6,11,0,0,0,0,0,7,5
Connor Brickley,FA,C,23,1,4,5,1,14,13,1,0,0,0,0,46,6
T.J. Brodie,CGY,D,70,6,39,45,4,18,79,1,2,7,0,2,15,104
Jonas Brodin,MIN,D,68,2,5,7,-5,18,58,0,0,0,0,0,34,110
Kyle Brodziak,FA,C,76,7,4,11,-1,37,49,4,0,0,3,0,50,37
Troy Brouwer,FLA,RW,82,18,21,39,2,62,142,4,7,3,0,0,200,52
Chris Brown,PIT,C,1,0,0,0,0,0,1,0,0,0,0,0,2,0
Connor Brown,OTT,RW,7,1,5,6,-2,0,11,0,1,3,0,1,1,2
Dustin Brown,LA,RW,82,11,17,28,-5,30,218,0,2,1,0,1,234,20
J.T. Brown,MIN,RW,78,8,14,22,16,59,140,0,0,0,0,2,103,40
Mike Brown,FA,RW,58,2,3,5,-5,90,51,0,0,0,0,0,176,25
Patrick Brown,VGK,C,7,1,1,2,4,4,8,0,0,0,0,0,11,6
Brett Bulmer,FA,LW,3,0,0,0,-1,7,2,0,0,0,0,0,2,0
Andre Burakovsky,COL,LW,79,17,21,38,4,12,126,1,0,4,0,0,37,24
Alex Burmistrov,FA,C,81,7,14,21,-11,32,102,2,0,1,0,1,125,35
Brent Burns,SJ,D,82,27,48,75,-5,53,353,4,7,23,1,1,101,145
Alex Burrows,FA,RW,79,9,13,22,-13,49,135,0,2,4,0,0,81,33
Chris Butler,FA,D,5,0,0,0,-1,4,4,0,0,0,0,0,3,8
