"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"760","Aaron Ekblad","FLA","D","78","58.1","14","80","14.89","11","64","14.67","7","52","11.86","1","8","11.11","1.03","6.19","14.32","6","38","13.64","3","14","17.65","0","3","0.00","3","24","11.11","0","3","0.00","5","38","11.63","0","2","0.00","14.29","84.62","0.989","4","11","30","64","11.76","10","13","36","21.74"
"369","Aaron Ness","WSH","D","8","1.2","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.03","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","1","0","2","-","0","2","0","-"
"596","Adam Clendening","EDM, PIT","D","29","0.13333333333333","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"195","Adam Cracknell","EDM, VAN","R","52","32.866666666667","4","52","7.14","4","38","9.52","3","28","9.68","0","7","0.00","0.31","3.35","8.56","3","32","8.57","2","12","14.29","0","2","0.00","1","20","4.76","0","2","0.00","1","19","5.00","0","3","0.00","0.00","75.00","0.750","1","3","15","45","6.25","2","6","19","9.52"
"379","Adam Henrique","N.J","C","80","211.1","34","353","8.79","30","260","10.34","21","187","10.10","3","19","13.64","3.5","24.76","12.38","21","168","11.11","13","74","14.94","3","4","42.86","8","94","7.84","0","8","0.00","8","174","4.40","0","7","0.00","14.29","89.84","1.041","4","22","173","113","2.26","7","33","245","2.78"
"614","Adam Larsson","N.J","D","82","274.96666666667","37","449","7.61","30","342","8.06","23","258","8.19","4","27","12.90","3.49","31.71","9.92","18","215","7.73","11","102","9.73","3","11","21.43","7","113","5.83","0","11","0.00","11","219","4.78","0","5","0.00","17.39","89.53","1.069","7","34","175","88","3.85","16","52","296","5.13"
"581","Adam Lowry","WPG","C","74","156.16666666667","27","294","8.41","22","221","9.05","19","161","10.56","1","17","5.56","1.61","21.08","7.09","13","153","7.83","9","66","12.00","1","8","11.11","4","87","4.40","0","2","0.00","6","131","4.38","0","7","0.00","5.26","89.44","0.947","3","22","115","98","2.54","6","31","159","3.64"
"218","Adam McQuaid","BOS","D","64","156.86666666667","42","251","14.33","37","182","16.89","28","109","20.44","4","18","18.18","2.45","14.42","14.54","19","113","14.39","7","38","15.56","3","8","27.27","12","75","13.79","1","5","16.67","15","134","10.07","0","5","0.00","14.29","83.49","0.978","2","23","101","56","1.94","13","41","157","7.65"
"189","Adam Pardy","EDM, WPG","D","23","55.383333333333","8","80","9.09","8","54","12.90","4","37","9.76","1","5","16.67","0.55","4.29","11.40","5","37","11.90","4","18","18.18","1","4","20.00","1","19","5.00","0","1","0.00","3","38","7.32","0","0","-","25.00","86.49","1.115","1","5","28","37","3.45","1","10","45","2.17"
"679","Adam Pelech","NYI","D","9","16.983333333333","4","30","11.76","2","19","9.52","2","13","13.33","1","3","25.00","0.08","1.21","6.26","3","14","17.65","1","4","20.00","1","1","50.00","2","10","16.67","0","0","-","0","14","0.00","0","2","0.00","50.00","76.92","1.269","0","1","6","15","0.00","0","5","11","0.00"
"588","Alan Quine","NYI","C","2","3.1166666666667","1","7","12.50","1","3","25.00","1","3","25.00","1","2","33.33","0.12","0.2","37.06","1","5","16.67","1","1","50.00","1","1","50.00","0","4","0.00","0","0","-","0","2","0.00","0","1","0.00","100.00","33.33","1.333","0","0","4","2","0.00","0","1","5","0.00"
"335","Alec Martinez","L.A","D","78","176.63333333333","30","301","9.06","23","225","9.27","20","153","11.56","4","17","19.05","1.46","20.74","6.59","17","144","10.56","6","55","9.84","2","8","20.00","11","89","11.00","2","5","28.57","6","149","3.87","0","4","0.00","20.00","88.89","1.089","3","17","99","152","2.94","16","33","128","11.11"
"727","Aleksander Barkov","FLA","C","66","118.7","21","189","10.00","18","147","10.91","15","104","12.61","3","16","15.79","1.64","12.51","11.62","12","86","12.24","6","32","15.79","1","4","20.00","6","54","10.00","1","8","11.11","5","101","4.72","0","4","0.00","20.00","84.62","1.046","4","10","66","115","5.71","6","18","96","5.88"
"65","Ales Hemsky","DAL","R","75","0.58333333333333","0","3","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0","0.18","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","-","0.00","0.00","0","0","0","2","-","0","0","0","-"
"246","Alex Biega","VAN","D","51","54.416666666667","10","86","10.42","9","70","11.39","9","58","13.43","0","4","0.00","0.67","6","10.07","7","47","12.96","3","21","12.50","0","1","0.00","4","26","13.33","0","2","0.00","2","38","5.00","0","1","0.00","0.00","93.10","0.931","0","4","30","59","0.00","0","10","40","0.00"
"417","Alex Chiasson","OTT","R","77","116.31666666667","18","177","9.23","17","136","11.11","14","100","12.28","2","16","11.11","1.43","11.04","11.43","9","78","10.34","3","35","7.89","1","9","10.00","6","43","12.24","0","5","0.00","4","96","4.00","0","2","0.00","14.29","84.00","0.983","6","23","74","92","7.50","9","32","95","8.65"
"648","Alex Galchenyuk","MTL","C","82","2.85","4","3","57.14","2","3","40.00","1","0","100.00","0","0","-","0.01","1.14","0.97","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","2","2","50.00","0","0","-","0.00","-","0.00","1","1","1","6","50.00","3","2","1","75.00"
"175","Alex Goligoski","DAL","D","82","191.56666666667","45","294","13.27","39","209","15.73","30","140","17.65","2","17","10.53","3.33","18.37","15.33","20","138","12.66","11","49","18.33","1","8","11.11","9","89","9.18","1","6","14.29","15","144","9.43","0","3","0.00","6.67","87.86","0.945","2","25","103","119","1.90","9","42","157","5.42"
"298","Alex Grant","ARI","D","5","2.85","0","7","0.00","0","5","0.00","0","4","0.00","0","2","0.00","0","0.74","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","50.00","0.50","0","0","0","3","-","0","1","1","0.00"
"598","Alex Khokhlachev","BOS","C","5","0.033333333333333","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","0","-","0","0","0","-"
"293","Alex Killorn","T.B","L","81","38.033333333333","10","52","16.13","8","36","18.18","7","22","24.14","1","0","100.00","0.73","2.34","23.80","7","22","24.14","0","4","0.00","0","0","-","7","18","28.00","1","0","100.00","3","29","9.38","0","0","-","14.29","100.00","1.143","0","6","21","43","0.00","3","9","25","10.71"
"159","Alex Ovechkin","WSH","L","79","0.3","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","0","1","0","1","-","0","1","1","0.00"
"501","Alex Petrovic","FLA","D","66","117.95","25","172","12.69","20","137","12.74","10","95","9.52","2","14","12.50","2.85","11.48","19.88","9","78","10.34","4","27","12.90","1","5","16.67","5","51","8.93","0","7","0.00","10","91","9.90","1","2","33.33","20.00","85.26","1.053","4","10","78","68","4.88","9","18","99","8.33"
"349","Alex Pietrangelo","STL","D","73","231.93333333333","39","416","8.57","34","321","9.58","26","233","10.04","2","26","7.14","2.48","30.14","7.60","19","229","7.66","8","94","7.84","2","11","15.38","11","135","7.53","0","8","0.00","9","171","5.00","0","7","0.00","7.69","88.84","0.965","3","30","157","97","1.88","10","45","273","3.53"
"22","Alex Tanguay","ARI, COL","L","70","37.516666666667","12","70","14.63","10","53","15.87","8","38","17.39","1","6","14.29","1.4","4.55","23.60","6","29","17.14","2","10","16.67","1","1","50.00","4","19","17.39","0","2","0.00","4","38","9.52","0","2","0.00","12.50","84.21","0.967","1","5","27","52","3.57","1","7","30","3.23"
"520","Alexander Burmistrov","WPG","C","81","162.71666666667","27","280","8.79","22","198","10.00","16","144","10.00","1","17","5.56","1.63","18.91","7.92","14","142","8.97","7","62","10.14","1","9","10.00","7","80","8.05","0","2","0.00","8","123","6.11","0","6","0.00","6.25","88.19","0.944","3","23","120","105","2.44","6","32","151","3.82"
"180","Alexander Edler","VAN","D","52","134.35","19","235","7.48","15","176","7.85","12","136","8.11","0","19","0.00","1.1","17.21","6.00","12","131","8.39","3","48","5.88","0","8","0.00","9","83","9.78","0","6","0.00","4","98","3.92","0","5","0.00","0.00","86.03","0.860","0","22","98","60","0.00","6","29","156","3.70"
"105","Alexander Steen","STL","L","67","119.18333333333","19","229","7.66","17","173","8.95","16","126","11.27","1","10","9.09","0.91","16.91","5.13","9","124","6.77","3","44","6.38","1","2","33.33","6","80","6.98","0","1","0.00","6","98","5.77","0","7","0.00","6.25","92.06","0.983","7","17","120","93","5.51","8","24","169","4.52"
