"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"784","Aaron Ekblad","FLA","D","78","221.53333333333","332","41","89.01","245","34","87.81","183","25","87.98","23","3","88.46","25.08","2.65","90.45","172","21","89.12","79","11","87.78","13","3","81.25","93","10","90.29","7","0","100.00","152","7","95.60","3","0","100.00","12.57","88.00","1.006","94","19","8","71","92.16","177","45","14","92.67"
"376","Aaron Ness","WSH","D","8","0.15","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","2","0","0","0","100.00","2","0","0","100.00"
"606","Adam Clendening","EDM, PIT","D","29","23.366666666667","26","5","83.87","17","4","80.95","12","3","80.00","0","0","-","1.12","0.29","79.50","12","5","70.59","1","2","33.33","0","0","-","11","3","78.57","0","0","-","14","0","100.00","0","0","-","0.00","100.00","1.000","9","1","1","21","90.00","12","2","4","75.00"
"199","Adam Cracknell","EDM, VAN","R","52","6.0666666666667","2","4","33.33","1","4","20.00","0","2","0.00","0","0","-","0.14","0.25","35.27","1","3","25.00","1","1","50.00","0","0","-","0","2","0.00","0","0","-","1","1","50.00","0","0","-","-","100.00","1.00","4","5","0","24","100.00","4","5","0","100.00"
"387","Adam Henrique","N.J","C","80","210.45","292","45","86.65","233","42","84.73","165","32","83.76","20","4","83.33","19.83","3.68","84.34","124","22","84.93","45","9","83.33","11","1","91.67","79","13","85.87","6","2","75.00","160","18","89.89","3","0","100.00","12.12","87.50","0.996","90","28","3","91","96.77","165","47","9","94.83"
"624","Adam Larsson","N.J","D","82","13.6","5","1","83.33","4","1","80.00","2","0","100.00","1","0","100.00","0.34","0.04","90.30","3","1","75.00","1","0","100.00","1","0","100.00","2","1","66.67","0","0","-","2","0","100.00","0","0","-","50.00","-","0.50","7","7","1","40","87.50","9","7","1","90.00"
"589","Adam Lowry","WPG","C","74","14.133333333333","12","3","80.00","7","3","70.00","6","3","66.67","0","0","-","0.53","0.25","67.59","6","3","66.67","1","2","33.33","0","0","-","5","1","83.33","0","0","-","5","0","100.00","0","0","-","0.00","100.00","1.000","2","5","2","31","50.00","4","6","4","50.00"
"223","Adam McQuaid","BOS","D","64","2.35","4","1","80.00","4","1","80.00","4","1","80.00","2","0","100.00","0.94","0.04","96.01","3","0","100.00","2","0","100.00","1","0","100.00","1","0","100.00","1","0","100.00","1","1","50.00","0","0","-","50.00","100.00","1.500","1","1","1","10","50.00","1","3","1","50.00"
"193","Adam Pardy","EDM, WPG","D","23","0.46666666666667","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","-","-","2","1","0","0","100.00","2","1","0","100.00"
"693","Adam Pelech","NYI","D","9","4.7333333333333","5","5","50.00","4","2","66.67","4","2","66.67","1","0","100.00","1.22","0.08","93.93","3","1","75.00","1","0","100.00","0","0","-","2","1","66.67","1","0","100.00","1","3","25.00","0","0","-","25.00","100.00","1.250","2","0","0","9","100.00","3","3","1","75.00"
