"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"761","A.J. Greer","COL","L","5","2.8666666666667","0","0","0","0","0","-","2","0.00","0.42","2","2","2","1","0","1","2","1","1","0","0","0","0","0","0","0","0","0","0","-"
"710","Aaron Ekblad","FLA","D","68","190.46666666667","4","4","1","3","8","42.11","64","6.25","4.83","119","79","32","4","0","7","4","2","2","0","0","0","4","1","3","5","0","0","0","-"
"514","Adam Clendening","NYR","D","31","45.716666666667","1","1","0","1","2","66.67","4","25.00","0.21","11","6","4","0","0","0","2","1","1","0","0","0","2","1","2","2","1","0","0","-"
"144","Adam Cracknell","DAL","R","69","6.7666666666667","0","0","0","0","0","-","4","0.00","0.53","4","4","3","2","0","1","0","0","0","0","0","0","1","0","0","0","0","2","1","66.67"
"662","Adam Erne","T.B","L","26","26.083333333333","0","0","0","0","0","0.00","4","0.00","0.43","5","5","4","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0.00"
"303","Adam Henrique","N.J","C","82","200","6","4","3","1","10","55.56","26","23.08","4.47","37","32","28","21","1","3","0","0","0","0","0","2","6","2","6","12","0","78","63","55.32"
"531","Adam Larsson","EDM","D","79","13.9","0","0","0","0","0","-","0","-","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"496","Adam Lowry","WPG","C, L","82","142.03333333333","5","4","2","2","9","52.94","23","21.74","5.42","36","33","35","30","0","6","12","6","6","0","0","0","1","1","7","3","0","43","36","54.43"
"166","Adam McQuaid","BOS","D","77","3.4","0","0","0","0","0","-","2","0.00","0.05","3","2","0","0","0","1","14","4","2","2","0","0","0","0","0","0","0","0","0","-"
"601","Adam Pelech","NYI","D","44","1.4833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"733","Adrian Kempe","L.A","L","25","20.083333333333","0","2","2","0","2","50.00","3","0.00","0.3","5","5","1","1","0","1","0","0","0","0","0","0","0","0","1","1","0","4","9","30.77"
"503","Alan Quine","NYI","C","61","67.05","2","1","0","1","3","100.00","7","28.57","1.33","10","9","7","4","1","1","0","0","0","0","0","0","0","0","0","2","1","15","12","55.56"
"265","Alec Martinez","L.A","D","82","176.48333333333","2","13","7","6","15","68.18","41","4.88","3.53","96","67","21","3","0","11","2","1","1","0","0","0","1","1","2","5","6","0","0","-"
"680","Aleksander Barkov","FLA","C","61","177.53333333333","3","11","5","6","14","70.00","37","8.11","4.68","58","51","33","11","0","4","2","1","1","0","0","0","2","1","3","7","0","72","70","50.70"
"44","Ales Hemsky","DAL","R","15","23.1","1","1","1","0","2","100.00","6","16.67","1.29","11","9","5","4","0","1","0","0","0","0","0","0","2","0","0","1","0","0","0","-"
"188","Alex Biega","VAN","D","36","7.95","0","0","0","0","0","-","0","-","0.08","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","-"
"335","Alex Chiasson","CGY","R","81","51.966666666667","0","2","0","2","2","40.00","7","0.00","1.62","11","11","11","10","0","2","0","0","0","0","0","1","2","0","0","3","0","0","0","-"
"568","Alex Galchenyuk","MTL","C","61","138.95","6","9","4","5","15","83.33","22","27.27","3.23","40","34","19","10","1","3","6","3","3","0","0","1","5","1","0","7","0","43","49","46.74"
"132","Alex Goligoski","ARI","D","82","178.6","1","7","3","4","8","57.14","13","7.69","0.95","29","18","12","0","0","3","0","0","0","0","0","0","6","1","1","4","2","0","0","-"
"228","Alex Killorn","T.B","C, L","81","194.65","4","6","3","3","10","35.71","29","13.79","2.95","46","35","30","16","0","2","12","6","6","0","0","0","6","2","2","5","0","1","0","100.00"
"119","Alex Ovechkin","WSH","L","82","305.35","17","9","5","4","26","54.17","99","17.17","10.32","211","150","74","12","2","11","4","2","2","0","0","1","8","4","6","8","2","0","0","-"
"419","Alex Petrovic","FLA","D","49","5.8166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","18","6","4","2","0","0","0","0","0","0","0","0","0","-"
"277","Alex Pietrangelo","STL","D","80","196.05","6","13","4","9","19","73.08","34","17.65","2.85","52","44","19","3","0","2","0","0","0","0","0","1","2","0","0","4","2","0","0","-"
"435","Alexander Burmistrov","ARI, WPG","C","49","56.283333333333","4","1","1","0","5","55.56","12","33.33","1.32","17","13","7","5","0","1","2","1","1","0","0","2","1","0","0","3","0","7","16","30.43"
"136","Alexander Edler","VAN","D","68","140.38333333333","2","2","2","0","4","50.00","25","8.00","2.07","71","40","19","3","1","1","0","0","0","0","0","0","2","1","6","2","4","0","0","-"
"802","Alexander Nylander","BUF","R","4","3.1","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"124","Alexander Radulov","MTL","R","76","215.96666666667","6","10","8","2","16","59.26","18","33.33","2.3","30","26","15","7","0","2","8","4","4","0","0","2","3","2","7","14","1","1","0","100.00"
"72","Alexander Steen","STL","L","76","221.63333333333","3","13","9","4","16","61.54","32","9.38","3.17","65","48","24","6","1","5","6","3","3","0","0","0","6","3","1","6","2","3","4","42.86"
"690","Alexander Wennberg","CBJ","C","80","211.93333333333","2","21","9","12","23","65.71","19","10.53","1.96","40","25","17","7","1","6","7","2","1","1","0","0","6","1","2","4","2","61","73","45.52"
