"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"703","A.J. Greer","COL","L","15","94.016666666667","76","82","48.10","60","60","50.00","44","47","48.35","2","4","33.33","3.13","3.41","47.86","36","33","52.17","14","13","51.85","2","2","50.00","22","20","52.38","0","1","0.00","32","43","42.67","0","1","0.00","4.55","91.49","0.960","13","32","7","90","65.00","19","39","17","52.78"
"612","Aaron Ekblad","FLA","D","82","1938.8166666667","1815","1857","49.43","1426","1425","50.02","1085","1002","51.99","113","119","48.71","88.75","97.36","47.69","825","898","47.88","359","410","46.68","65","71","47.79","466","488","48.85","33","31","51.56","810","791","50.59","14","14","50.00","10.41","88.12","0.985","271","451","405","1328","40.09","627","689","800","43.94"
"393","Adam Clendening","CBJ","D","4","42.616666666667","34","52","39.53","24","42","36.36","19","32","37.25","2","2","50.00","1.28","2.67","32.42","14","29","32.56","4","11","26.67","0","1","0.00","10","18","35.71","1","1","50.00","15","20","42.86","1","0","100.00","10.53","93.75","1.043","9","10","6","39","60.00","13","13","11","54.17"
"75","Adam Cracknell","ANA","R","2","20.866666666667","15","17","46.88","9","15","37.50","6","11","35.29","0","1","0.00","0.5","1.09","31.57","6","11","35.29","3","7","30.00","0","1","0.00","3","4","42.86","0","0","-","8","4","66.67","0","0","-","0.00","90.91","0.909","3","7","5","20","37.50","7","12","5","58.33"
"554","Adam Erne","T.B","L","65","685.63333333333","576","608","48.65","438","467","48.40","315","331","48.76","34","21","61.82","25.09","23.12","52.04","292","274","51.59","124","100","55.36","16","12","57.14","168","174","49.12","13","6","68.42","250","294","45.96","5","3","62.50","10.79","93.66","1.044","98","190","106","579","48.04","159","255","197","44.66"
"759","Adam Gaudette","VAN","C","56","613.15","560","538","51.00","417","407","50.61","299","308","49.26","24","25","48.98","20.06","22.72","46.89","238","276","46.30","74","111","40.00","10","14","41.67","164","165","49.85","9","8","52.94","272","216","55.74","5","3","62.50","8.03","91.88","0.999","149","129","43","576","77.60","200","176","106","65.36"
"209","Adam Henrique","ANA","C","82","1349","1248","1268","49.60","941","954","49.66","642","659","49.35","68","60","53.13","63.52","62.57","50.38","612","593","50.79","253","238","51.53","36","32","52.94","359","355","50.28","20","15","57.14","531","563","48.54","11","10","52.38","10.59","90.90","1.015","335","240","242","953","58.06","523","348","437","54.48"
"872","Adam Johnson","PIT","C","6","31.833333333333","29","31","48.33","22","24","47.83","18","20","47.37","3","1","75.00","1.22","1.34","47.58","11","13","45.83","5","6","45.45","1","0","100.00","6","7","46.15","1","1","50.00","17","15","53.13","1","0","100.00","16.67","95.00","1.117","5","8","0","42","100.00","6","11","3","66.67"
"410","Adam Larsson","EDM","D","82","1773.1","1502","1728","46.50","1125","1321","45.99","814","978","45.42","54","107","33.54","65.34","83.28","43.97","689","825","45.51","298","364","45.02","33","57","36.67","391","461","45.89","14","35","28.57","674","753","47.23","7","15","31.82","6.63","89.06","0.957","172","416","403","1245","29.91","492","634","725","40.43"
"379","Adam Lowry","WPG","C","78","1141.7833333333","944","1204","43.95","694","879","44.12","493","628","43.98","38","49","43.68","39.17","53.66","42.20","392","516","43.17","175","209","45.57","23","27","46.00","217","307","41.41","9","11","45.00","434","563","43.53","5","11","31.25","7.71","92.20","0.999","144","350","328","863","30.51","258","444","545","32.13"
"90","Adam McQuaid","CBJ, NYR","D","50","788.86666666667","548","822","40.00","415","610","40.49","301","431","41.12","30","38","44.12","27.71","37.03","42.80","282","401","41.29","133","166","44.48","17","21","44.74","149","235","38.80","5","13","27.78","211","351","37.54","7","4","63.64","9.97","91.18","1.012","91","207","163","685","35.83","178","297","291","37.95"
"478","Adam Pelech","NYI","D","78","1453.1","1181","1433","45.18","859","1019","45.74","629","740","45.95","58","54","51.79","52.49","59.82","46.74","595","678","46.74","254","273","48.20","33","34","49.25","341","405","45.71","19","8","70.37","468","618","43.09","2","12","14.29","9.22","92.70","1.019","168","270","290","1170","36.68","358","409","530","40.32"
"639","Adrian Kempe","L.A","C","81","1174.5166666667","1112","991","52.88","832","737","53.03","580","513","53.06","40","46","46.51","50.66","41.71","54.84","526","461","53.29","200","174","53.48","22","26","45.83","326","287","53.18","11","13","45.83","490","444","52.46","7","5","58.33","6.90","91.03","0.979","227","242","156","1069","59.27","385","347","290","57.04"
"384","Alan Quine","CGY","C","13","123.46666666667","95","99","48.97","66","72","47.83","44","55","44.44","5","4","55.56","3.8","4.05","48.45","43","47","47.78","21","25","45.65","3","3","50.00","22","22","50.00","1","1","50.00","42","43","49.41","1","0","100.00","11.36","92.73","1.041","20","31","18","103","52.63","27","39","34","44.26"
"173","Alec Martinez","L.A","D","60","1281.7833333333","1203","1345","47.21","874","992","46.84","598","684","46.65","53","65","44.92","53.06","61.06","46.49","563","628","47.27","222","244","47.64","29","33","46.77","341","384","47.03","11","19","36.67","537","614","46.66","10","9","52.63","8.86","90.50","0.994","135","217","211","1016","39.02","354","369","423","45.56"
