Name,G,A,Pts,PIM,PPP,SOG,HIT,BLOCKS,+/-
Connor McDavid,40,70,110,24,28,252,35,34,13
Nikita Kucherov,41,68,109,50,36,254,37,24,14
Sidney Crosby,36,59,95,36,31,285,82,38,8
Nathan MacKinnon,40,54,94,44,33,325,46,26,16
Steven Stamkos,36,56,92,54,36,223,67,38,6
Patrick Kane,37,55,92,28,26,315,22,16,-1
Johnny Gaudreau,30,59,89,20,24,236,12,14,8
Mikko Rantanen,29,58,87,46,34,195,48,42,2
Blake Wheeler,25,62,87,54,32,242,89,55,4
Brad Marchand,35,51,86,84,26,218,45,25,13
Leon Draisaitl,41,45,86,40,23,217,50,29,1
Artemi Panarin,29,54,83,24,19,205,17,17,10
Aleksander Barkov,31,51,82,10,24,231,29,64,3
Alex Ovechkin,48,33,81,40,28,336,201,33,5
David Pastrnak,37,43,80,34,29,257,60,29,9
Sebastian Aho,32,48,80,30,23,260,71,29,9
Jonathan Huberdeau,27,52,79,36,26,215,49,43,-3
Evgeni Malkin,28,50,78,86,28,201,49,31,-4
Mitchell Marner,24,54,78,26,22,204,32,37,10
Tyler Seguin,34,44,78,26,27,326,71,40,7
Claude Giroux,23,55,78,26,28,213,38,22,8
John Tavares,39,38,77,32,22,267,47,39,6
Auston Matthews,40,35,75,14,20,257,24,63,2
Brayden Point,32,43,75,26,28,204,28,50,12
Taylor Hall,26,48,74,32,25,242,55,48,4
Nicklas Backstrom,21,53,74,36,28,167,48,36,6
Mathew Barzal,20,54,74,38,23,175,23,44,-2
Jack Eichel,27,46,73,26,24,275,54,43,-7
Brent Burns,18,55,73,38,27,313,82,122,8
Mark Scheifele,29,43,72,33,19,171,54,44,10
Vladimir Tarasenko,35,36,71,18,21,286,79,37,7
Phil Kessel,25,46,71,28,26,243,12,17,-10
Evgeny Kuznetsov,22,48,70,48,23,191,51,21,6
Sean Couturier,29,41,70,32,16,225,57,52,13
Jakub Voracek,20,49,69,40,23,225,22,28,-7
Jonathan Toews,28,40,68,40,17,220,39,36,3
Sean Monahan,30,38,68,18,19,212,36,23,4
Alexander Radulov,25,42,67,60,21,196,68,69,10
Jake Guentzel,32,35,67,34,11,215,138,49,4
Teuvo Teravainen,21,46,67,14,22,183,33,26,11
Nikita Gusev,20,46,66,12,17,180,30,20,5
Matthew Tkachuk,27,39,66,77,20,198,93,17,8
Mika Zibanejad,27,38,65,30,21,212,101,59,1
Elias Pettersson,24,41,65,14,23,170,45,55,2
Dylan Larkin,25,40,65,66,11,258,80,37,-7
Ryan O'Reilly,25,40,65,8,23,222,32,42,5
Anze Kopitar,22,43,65,26,21,166,64,63,-4
Mark Stone,26,38,64,22,16,166,60,58,10
Evgeni Dadonov,27,37,64,8,15,192,30,37,2
Mike Hoffman,30,34,64,36,29,247,39,27,-12
Patrice Bergeron,26,37,63,28,21,234,47,52,20
Gabriel Landeskog,26,37,63,50,20,209,133,55,6
Jamie Benn,29,34,63,58,18,205,129,63,9
Clayton Keller,22,41,63,26,22,218,13,26,-9
Erik Karlsson,12,50,62,30,21,188,59,103,4
Timo Meier,31,31,62,66,9,261,127,55,5
Alex DeBrincat,33,29,62,10,18,213,40,27,3
Joe Pavelski,28,33,61,30,21,208,91,67,1
Kyle Connor,31,30,61,18,16,222,15,24,1
Jonathan Marchessault,27,34,61,46,17,261,103,22,5
Jack Hughes,18,42,60,22,15,150,30,20,3
William Nylander,21,39,60,20,17,199,23,19,5
Mikael Granlund,20,40,60,20,20,184,47,43,5
Patrik Laine,36,24,60,34,24,240,76,42,-4
Jeff Skinner,36,24,60,34,14,280,34,26,-9
William Karlsson,28,32,60,14,15,176,49,50,12
Sam Reinhart,22,38,60,16,18,192,38,46,-7
Brock Boeser,30,29,59,20,20,219,25,24,-3
Filip Forsberg,30,29,59,30,16,217,96,30,10
Matt Duchene,25,34,59,14,14,232,41,44,-6
Ryan Nugent-Hopkins,24,35,59,26,19,201,60,40,-6
David Krejci,19,40,59,18,14,139,32,33,2
Logan Couture,27,32,59,18,18,197,55,60,-1
Ryan Johansen,14,45,59,56,25,139,88,27,7
Eric Staal,26,33,59,36,16,221,41,36,3
Brayden Schenn,22,36,58,44,18,176,143,35,0
Cam Atkinson,33,25,58,20,15,255,30,28,4
Victor Hedman,13,44,57,46,26,186,81,109,15
